사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사상자합계
2022011100100445,2022년 1월 11일 18시,화요일,세종특별자치시 다정동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,16세,경상,승용,여,61세,경상,0.0136
2022011200100485,2022년 1월 12일 19시,수요일,세종특별자치시 집현동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,보행자,여,39세,중상,0.1168
2022011300100099,2022년 1월 13일 08시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,여,37세,경상,0.0068
2022011300100445,2022년 1월 13일 18시,목요일,세종특별자치시 다정동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,55세,중상,0.2336
2022011300100474,2022년 1월 13일 19시,목요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,24세,상해없음,개인형이동수단(PM),남,46세,부상신고,0.0033
2022011300100558,2022년 1월 13일 22시,목요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,27세,상해없음,승용,남,41세,경상,0.0068
2022011400100206,2022년 1월 14일 11시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,43세,상해없음,보행자,남,70세,경상,0.0068
2022011400100236,2022년 1월 14일 12시,금요일,세종특별자치시 연기면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,86세,중상,화물,남,42세,상해없음,0.1168
2022011400100237,2022년 1월 14일 12시,금요일,세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,68세,상해없음,승용,남,41세,경상,0.0068
2022011400100381,2022년 1월 14일 16시,금요일,세종특별자치시 집현동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,52세,상해없음,승합,남,32세,상해없음,0.1168
2022011400100549,2022년 1월 14일 19시,금요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,25세,상해없음,승용,남,41세,경상,0.0068
2022011400100550,2022년 1월 14일 19시,금요일,세종특별자치시 고운동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,자전거,여,57세,중상,0.1168
2022011400100585,2022년 1월 14일 20시,금요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,화물,남,49세,경상,0.0136
2022011500100117,2022년 1월 15일 10시,토요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,77세,중상,0.1168
2022011700100491,2022년 1월 17일 21시,월요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,승용,여,41세,경상,0.0068
2022011800100109,2022년 1월 18일 08시,화요일,세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,승용,남,62세,상해없음,승용,여,56세,경상,0.0068
2022011800100137,2022년 1월 18일 09시,화요일,세종특별자치시 소정면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,67세,상해없음,승용,남,33세,경상,0.0068
2022011900100464,2022년 1월 19일 21시,수요일,세종특별자치시 장군면,중상사고,0,2,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,중상,승용,여,46세,중상,0.2336
2022011900100474,2022년 1월 19일 22시,수요일,세종특별자치시 연기면,경상사고,0,0,3,0,차대차 - 추돌,기타,젖음/습기,눈,기타 - 기타,화물,남,57세,상해없음,승용,남,24세,경상,0.020399999999999998
2022012000100428,2022년 1월 20일 18시,목요일,세종특별자치시 전동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,남,39세,중상,0.1168
2022012000100429,2022년 1월 20일 18시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,기타,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,49세,경상,0.0068
2022012000100577,2022년 1월 20일 22시,목요일,세종특별자치시 소정면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,화물,남,64세,상해없음,0.0136
2022012200100122,2022년 1월 22일 10시,토요일,세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,이륜,남,44세,경상,0.0068
2022012300100285,2022년 1월 23일 18시,일요일,세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,이륜,남,44세,경상,0.0068
2022012600100167,2022년 1월 26일 10시,수요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,56세,상해없음,이륜,남,38세,중상,0.1168
2022012600100443,2022년 1월 26일 18시,수요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,48세,상해없음,이륜,남,39세,중상,0.1168
2022012600100482,2022년 1월 26일 19시,수요일,세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,47세,상해없음,승용,남,37세,경상,0.0068
2022012700100182,2022년 1월 27일 11시,목요일,세종특별자치시 부강면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,48세,기타불명,승용,남,48세,중상,0.1168
2022012800100141,2022년 1월 28일 10시,금요일,세종특별자치시 다정동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,건설기계,남,58세,상해없음,승용,여,54세,경상,0.0136
2022012800100300,2022년 1월 28일 14시,금요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,여,25세,경상,0.0136
2022012800100348,2022년 1월 28일 15시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,화물,남,39세,상해없음,승용,남,64세,상해없음,0.0068
2022012900100057,2022년 1월 29일 08시,토요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,승용,남,31세,경상,0.0068
2022012900100351,2022년 1월 29일 18시,토요일,세종특별자치시 소정면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,71세,중상,승합,남,61세,기타불명,0.1168
2022013000100298,2022년 1월 30일 19시,일요일,세종특별자치시 장군면,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,43세,부상신고,,,,,0.0033
2022013100100094,2022년 1월 31일 12시,월요일,세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,48세,상해없음,승용,남,40세,경상,0.0068
2022020100100002,2022년 2월 1일 00시,화요일,세종특별자치시 연기면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,승용,남,27세,상해없음,이륜,남,38세,사망,1.0
2022020100100154,2022년 2월 1일 16시,화요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 터널,이륜,남,42세,경상,승용,여,36세,상해없음,0.0068
2022020300100412,2022년 2월 3일 20시,목요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,남,20세,경상,0.0068
2022020400100332,2022년 2월 4일 17시,금요일,세종특별자치시 보람동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,자전거,남,12세,부상신고,0.0033
2022020400100333,2022년 2월 4일 17시,금요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,남,9세,경상,0.0068
2022020400100481,2022년 2월 4일 21시,금요일,세종특별자치시 어진동,부상신고사고,0,0,0,3,차대차 - 측면충돌,안전운전불이행,젖음/습기,눈,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,여,27세,부상신고,0.009899999999999999
2022020600100206,2022년 2월 6일 18시,일요일,세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,19세,상해없음,승합,남,52세,상해없음,0.0068
2022020700100179,2022년 2월 7일 13시,월요일,세종특별자치시 어진동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,22세,상해없음,자전거,남,38세,부상신고,0.0033
2022020800100488,2022년 2월 8일 21시,화요일,세종특별자치시 장군면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,기타,단일로 - 기타,승용,여,25세,상해없음,승용,여,55세,경상,0.0136
2022020900100050,2022년 2월 9일 06시,수요일,세종특별자치시 연기면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승합,남,36세,경상,0.0136
2022020900100313,2022년 2월 9일 16시,수요일,세종특별자치시 한솔동,중상사고,0,1,0,0,차대차 - 추돌,차로위반,건조,흐림,단일로 - 기타,승용,여,62세,상해없음,이륜,남,38세,중상,0.1168
2022021000100411,2022년 2월 10일 19시,목요일,세종특별자치시 세종동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,남,38세,경상,0.0068
2022021100100398,2022년 2월 11일 18시,금요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,기타,교차로 - 교차로횡단보도내,승용,여,34세,상해없음,보행자,여,28세,경상,0.0068
2022021100100465,2022년 2월 11일 20시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,기타 - 기타,원동기,남,55세,경상,,,,,0.0068
2022021200100413,2022년 2월 12일 21시,토요일,세종특별자치시 어진동,경상사고,0,0,1,6,차대차 - 측면충돌,차로위반,건조,흐림,단일로 - 기타,승용,남,65세,상해없음,승용,남,49세,경상,0.0266
2022021300100092,2022년 2월 13일 12시,일요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,21세,상해없음,자전거,여,16세,경상,0.0068
2022021300100313,2022년 2월 13일 21시,일요일,세종특별자치시 도담동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,승용,남,38세,경상,0.020399999999999998
2022021300100326,2022년 2월 13일 23시,일요일,세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,50세,상해없음,승용,남,53세,경상,0.0068
2022021400100044,2022년 2월 14일 06시,월요일,세종특별자치시 장군면,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,54세,경상,0.0272
2022021400100295,2022년 2월 14일 15시,월요일,세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,화물,남,60세,경상,0.0068
2022021400100331,2022년 2월 14일 16시,월요일,세종특별자치시 연서면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,58세,상해없음,이륜,남,27세,경상,0.0068
2022021400100427,2022년 2월 14일 19시,월요일,세종특별자치시 새롬동,중상사고,0,1,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,단일로 - 기타,이륜,남,36세,상해없음,보행자,남,48세,경상,0.1236
2022021500100127,2022년 2월 15일 11시,화요일,세종특별자치시 연기면,중상사고,0,2,0,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,건설기계,남,62세,상해없음,승용,남,54세,중상,0.2336
2022021500100404,2022년 2월 15일 20시,화요일,세종특별자치시 산울동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 터널,기타불명,기타불명,미분류,기타불명,승용,남,45세,경상,0.0068
2022021600100023,2022년 2월 16일 06시,수요일,세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,서리/결빙,맑음,단일로 - 기타,승용,남,62세,기타불명,화물,남,28세,경상,0.0068
2022021600100270,2022년 2월 16일 16시,수요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,58세,상해없음,화물,남,43세,경상,0.0068
2022021600100348,2022년 2월 16일 18시,수요일,세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,54세,기타불명,자전거,남,51세,경상,0.0068
2022021700100394,2022년 2월 17일 19시,목요일,세종특별자치시 전동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,33세,기타불명,승용,남,24세,경상,0.0068
2022021800100184,2022년 2월 18일 11시,금요일,세종특별자치시 종촌동,부상신고사고,0,0,0,1,차대차 - 측면충돌,불법유턴,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,이륜,남,19세,부상신고,0.0033
2022021800100299,2022년 2월 18일 15시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,여,47세,경상,0.0068
2022021900100035,2022년 2월 19일 06시,토요일,세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,단일로 - 기타,건설기계,남,49세,상해없음,승용,남,48세,경상,0.0068
2022022000100111,2022년 2월 20일 12시,일요일,세종특별자치시 금남면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,남,61세,경상,0.0136
2022022000100232,2022년 2월 20일 17시,일요일,세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,33세,경상,0.0068
2022022100100461,2022년 2월 21일 19시,월요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,보행자,남,71세,경상,0.0068
2022022200100383,2022년 2월 22일 18시,화요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,여,36세,경상,0.0068
2022022200100468,2022년 2월 22일 21시,화요일,세종특별자치시 도담동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,여,53세,경상,0.0136
2022022200100503,2022년 2월 22일 23시,화요일,세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승합,남,51세,경상,0.0068
2022022300100171,2022년 2월 23일 12시,수요일,세종특별자치시 세종동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,건설기계,남,50세,경상,0.0068
2022022400100126,2022년 2월 24일 09시,목요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,승용,여,22세,상해없음,승용,남,34세,경상,0.0068
2022022400100545,2022년 2월 24일 23시,목요일,세종특별자치시 고운동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,남,37세,중상,0.1168
2022022500100162,2022년 2월 25일 10시,금요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,보행자,여,54세,경상,0.0068
2022022600100121,2022년 2월 26일 10시,토요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,여,47세,경상,0.0068
2022022700100157,2022년 2월 27일 13시,일요일,세종특별자치시 고운동,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,66세,상해없음,이륜,남,16세,부상신고,0.0033
2022022800100228,2022년 2월 28일 13시,월요일,세종특별자치시 한솔동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,31세,상해없음,자전거,남,9세,중상,0.1168
2022030100100309,2022년 3월 1일 19시,화요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,78세,경상,0.0068
2022030200100215,2022년 3월 2일 12시,수요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,승용,여,56세,상해없음,보행자,여,39세,경상,0.0068
2022030200100529,2022년 3월 2일 22시,수요일,세종특별자치시 도담동,부상신고사고,0,0,0,2,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,40세,부상신고,0.0066
2022030200100530,2022년 3월 2일 22시,수요일,세종특별자치시 어진동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,53세,경상,승용,여,39세,경상,0.0136
2022030300100310,2022년 3월 3일 15시,목요일,세종특별자치시 조치원읍,중상사고,0,1,0,1,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,이륜,남,17세,부상신고,0.1201
2022030400100125,2022년 3월 4일 11시,금요일,세종특별자치시 세종동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,31세,경상,0.0068
2022030400100213,2022년 3월 4일 14시,금요일,세종특별자치시 연서면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,30세,상해없음,화물,남,82세,중상,0.2336
2022030400100343,2022년 3월 4일 18시,금요일,세종특별자치시 도담동,경상사고,0,0,1,1,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,단일로 - 기타,승용,여,58세,부상신고,승용,남,51세,경상,0.0101
2022030400100344,2022년 3월 4일 18시,금요일,세종특별자치시 한솔동,중상사고,0,1,0,0,차대차 - 정면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,이륜,남,57세,중상,0.1168
2022030400100411,2022년 3월 4일 20시,금요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,46세,상해없음,보행자,여,63세,경상,0.0068
2022030500100310,2022년 3월 5일 16시,토요일,세종특별자치시 연동면,경상사고,0,0,4,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,59세,경상,0.0272
2022030600100151,2022년 3월 6일 14시,일요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,38세,기타불명,승용,여,51세,경상,0.0068
2022030700100392,2022년 3월 7일 21시,월요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,32세,상해없음,승용,남,28세,경상,0.0068
2022030800100206,2022년 3월 8일 13시,화요일,세종특별자치시 전의면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,화물,남,40세,경상,0.0068
2022030800100336,2022년 3월 8일 17시,화요일,세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,남,46세,경상,0.0068
2022030800100410,2022년 3월 8일 19시,화요일,세종특별자치시 전동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,남,54세,경상,0.0068
2022030900100039,2022년 3월 9일 04시,수요일,세종특별자치시 다정동,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,35세,부상신고,,,,,0.0033
2022030900100413,2022년 3월 9일 23시,수요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,승용,여,45세,경상,0.0068
2022031000100213,2022년 3월 10일 13시,목요일,세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,남,41세,경상,0.0068
2022031100100015,2022년 3월 11일 03시,금요일,세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,18세,상해없음,승용,남,38세,경상,0.0068
2022031100100414,2022년 3월 11일 19시,금요일,세종특별자치시 연기면,부상신고사고,0,0,0,4,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,36세,부상신고,승용,남,33세,부상신고,0.0132
2022031300100098,2022년 3월 13일 12시,일요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,승용,남,52세,부상신고,0.0033
2022031400100079,2022년 3월 14일 08시,월요일,세종특별자치시 도담동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,젖음/습기,흐림,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,33세,부상신고,0.0033
2022031400100407,2022년 3월 14일 20시,월요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,이륜,남,26세,상해없음,보행자,남,68세,경상,0.0068
2022031500100048,2022년 3월 15일 07시,화요일,세종특별자치시 금남면,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,화물,남,23세,중상,0.1304
2022031500100250,2022년 3월 15일 14시,화요일,세종특별자치시 부강면,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,승용,여,59세,중상,0.1168
2022031500100251,2022년 3월 15일 14시,화요일,세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,승합,남,53세,상해없음,보행자,여,87세,중상,0.1168
2022031500100396,2022년 3월 15일 19시,화요일,세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,상해없음,승용,여,46세,상해없음,0.0068
